Date_Time,Date,Tweets
2019-03-16 10:55:16,2019-03-16,"J P Morgan Chase &amp; Co $JPM Market Value Declined While American Money Management Boosted Holding by $310,400; As Bo… https://t.co/t6fI5QKABe"
2019-03-16 10:55:16,2019-03-16,"J P Morgan Chase &amp; Co $JPM Market Value Declined While American Money Management Boosted Holding by $310,400; As Bo… https://t.co/t6fI5QKABe"
2019-03-16 12:42:39,2019-03-16,"(PREMIUM) Chart Of The Week: ""Has Boeing’s Stock Been Grounded?"" - via The Lyons Share $BA https://t.co/db0Ab8jwWU https://t.co/rCIfMhK79a"
2019-03-16 12:42:39,2019-03-16,"(PREMIUM) Chart Of The Week: ""Has Boeing’s Stock Been Grounded?"" - via The Lyons Share $BA https://t.co/db0Ab8jwWU https://t.co/rCIfMhK79a"
2019-03-16 13:07:38,2019-03-16,I Took a Philosophy Class or 2 in College! I Know Why Women Wear Large Earring Circles &amp; Where Men's Ties Point To!… https://t.co/ypcJ1RYJsW
2019-03-16 13:07:38,2019-03-16,I Took a Philosophy Class or 2 in College! I Know Why Women Wear Large Earring Circles &amp; Where Men's Ties Point To!… https://t.co/ypcJ1RYJsW
2019-03-16 13:11:41,2019-03-16,"Due to recent Fallout from the Boeing 737 MAX 8 @barronsonline th9nk it Crash Could Last for Years, I think there a… https://t.co/OeuGvrzegD"
2019-03-16 13:11:41,2019-03-16,"Due to recent Fallout from the Boeing 737 MAX 8 @barronsonline th9nk it Crash Could Last for Years, I think there a… https://t.co/OeuGvrzegD"
2019-03-16 13:19:15,2019-03-16,"$BA “Boeing was going to have a software fix in the next 5 to 6 weeks,” said Michael Michaelis, top safety official… https://t.co/YZzA5szbS8"
2019-03-16 13:19:15,2019-03-16,"$BA “Boeing was going to have a software fix in the next 5 to 6 weeks,” said Michael Michaelis, top safety official… https://t.co/YZzA5szbS8"
2019-03-16 13:35:28,2019-03-16,@mcm_ct Wow just found this out. The Hindenburg disaster happened before the 1937 crash and signaled the times to c… https://t.co/e8crtcleoN
2019-03-16 13:35:28,2019-03-16,@mcm_ct Wow just found this out. The Hindenburg disaster happened before the 1937 crash and signaled the times to c… https://t.co/e8crtcleoN
2019-03-16 13:36:00,2019-03-16,#TuesdayThoughts w. Corpina | Joins #TheVoz at NYSE to talk market movements ____ $DJIA patient investors &amp; watching… https://t.co/QUHZALvMaz
2019-03-16 13:36:00,2019-03-16,#TuesdayThoughts w. Corpina | Joins #TheVoz at NYSE to talk market movements ____ $DJIA patient investors &amp; watching… https://t.co/QUHZALvMaz
2019-03-16 13:41:35,2019-03-16,How things can sometimes go off the rails... $ROKU $SPY $NVDA $BA https://t.co/zGQvwnHvgy
2019-03-16 13:41:35,2019-03-16,How things can sometimes go off the rails... $ROKU $SPY $NVDA $BA https://t.co/zGQvwnHvgy
2019-03-16 13:42:44,2019-03-16,@traderstewie Don’t worry it won’t stay.. problems for $ba are about to get real..
2019-03-16 13:42:44,2019-03-16,@traderstewie Don’t worry it won’t stay.. problems for $ba are about to get real..
2019-03-16 13:49:49,2019-03-16,Commented on $BA - Boeing:?sht=pogp31&amp;shu=7yg6 Huge Potential Win For 2019 And Beyond https://t.co/uIhfq8vc5m
2019-03-16 13:49:49,2019-03-16,Commented on $BA - Boeing:?sht=pogp31&amp;shu=7yg6 Huge Potential Win For 2019 And Beyond https://t.co/uIhfq8vc5m
2019-03-16 13:50:40,2019-03-16,"#Trader #Investor watch askSlim Market Week. Hear commentary from a 45-year trading pro, analyst &amp; coach on #Stocks… https://t.co/TzghQZ8AiC"
2019-03-16 13:50:40,2019-03-16,"#Trader #Investor watch askSlim Market Week. Hear commentary from a 45-year trading pro, analyst &amp; coach on #Stocks… https://t.co/TzghQZ8AiC"
2019-03-16 13:53:59,2019-03-16,"I Did Generate Net Income For #Allergan !
Performance Net Income! 
$aapl $amzn $agn $brk $bhc $crm $twtr $ba $ko… https://t.co/TZ05GezLwW"
2019-03-16 13:53:59,2019-03-16,"I Did Generate Net Income For #Allergan !
Performance Net Income! 
$aapl $amzn $agn $brk $bhc $crm $twtr $ba $ko… https://t.co/TZ05GezLwW"
2019-03-16 14:00:08,2019-03-16,FAA’s close ties to @Boeing questioned after 2 deadly crashes https://t.co/5QHPZZ2bzp #Boeing $BA
2019-03-16 14:00:08,2019-03-16,FAA’s close ties to @Boeing questioned after 2 deadly crashes https://t.co/5QHPZZ2bzp #Boeing $BA
2019-03-16 14:06:10,2019-03-16,"Stocks To Watch: Eyes on Boeing, Nvidia, Disney, Nike &amp; WageWorks $BA $NVDA $DIS $NKE $FDX $WAGE $QQQ… https://t.co/XjI1qI6HpU"
