Date_Time,Date,Tweets
2019-03-16 10:52:32,2019-03-16,Bingham Osborn &amp; Scarborough Continues to Hold Holding in Microsoft $MSFT; Dorsey &amp; Whitney Trust Company Trimmed I… https://t.co/c9tIg9t0c5
2019-03-16 10:52:32,2019-03-16,Bingham Osborn &amp; Scarborough Continues to Hold Holding in Microsoft $MSFT; Dorsey &amp; Whitney Trust Company Trimmed I… https://t.co/c9tIg9t0c5
2019-03-16 11:10:11,2019-03-16,United Services Automobile Association Decreased Its Microsoft Corp $MSFT Stake as Shares Rose https://t.co/0wGxuERj3i
2019-03-16 11:10:11,2019-03-16,United Services Automobile Association Decreased Its Microsoft Corp $MSFT Stake as Shares Rose https://t.co/0wGxuERj3i
2019-03-16 12:10:48,2019-03-16,"Milestone Group Has Raised Its Microsoft $MSFT Position by $577,013 as Stock Value Rose; As Williams Cos Com $WMB S… https://t.co/PKdg3lxKYg"
2019-03-16 12:10:48,2019-03-16,"Milestone Group Has Raised Its Microsoft $MSFT Position by $577,013 as Stock Value Rose; As Williams Cos Com $WMB S… https://t.co/PKdg3lxKYg"
2019-03-16 12:25:47,2019-03-16,After making new ATH’s I’m kinda bummed I exited $MSFT a little early. After nailing almost the perfect entry last… https://t.co/EzxHw39f08
2019-03-16 12:25:47,2019-03-16,After making new ATH’s I’m kinda bummed I exited $MSFT a little early. After nailing almost the perfect entry last… https://t.co/EzxHw39f08
2019-03-16 12:39:36,2019-03-16,"How To Buy Low And Sell High: Dividend Strategy https://t.co/c4XcVFYD2z $AAPL, $ADP, $AFL, $BAC, $ED, $JNJ, $LOW,… https://t.co/6SGKlysfO5"
2019-03-16 12:39:36,2019-03-16,"How To Buy Low And Sell High: Dividend Strategy https://t.co/c4XcVFYD2z $AAPL, $ADP, $AFL, $BAC, $ED, $JNJ, $LOW,… https://t.co/6SGKlysfO5"
2019-03-16 12:44:19,2019-03-16,"As General Dynamics $GD Share Value Declined, Lvw Advisors Decreased by $1.22 Million Its Position; Microsoft $MSFT… https://t.co/9WJb5NeRps"
2019-03-16 12:44:19,2019-03-16,"As General Dynamics $GD Share Value Declined, Lvw Advisors Decreased by $1.22 Million Its Position; Microsoft $MSFT… https://t.co/9WJb5NeRps"
2019-03-16 12:57:44,2019-03-16,"I hoard Bitcoin, Litecoin, and stocks like you hoard clothes and other junk you haven’t touched in a decade. 

I ha… https://t.co/7rMtHkuCgF"
2019-03-16 12:57:44,2019-03-16,"I hoard Bitcoin, Litecoin, and stocks like you hoard clothes and other junk you haven’t touched in a decade. 

I ha… https://t.co/7rMtHkuCgF"
2019-03-16 13:11:40,2019-03-16,@WallStJesus One good week after two skittish weeks and now turns the tides?  The old line companies seeing big flo… https://t.co/4LwpBrbd8a
2019-03-16 13:11:40,2019-03-16,@WallStJesus One good week after two skittish weeks and now turns the tides?  The old line companies seeing big flo… https://t.co/4LwpBrbd8a
2019-03-16 13:18:03,2019-03-16,"$GOOGL $MSFT $AMZN $NVDA $FB:

Alphabet, Microsoft, Amazon and Others to Launch Battle Royale at Gaming Confab:

https://t.co/rB4urG8cfF"
2019-03-16 13:18:03,2019-03-16,"$GOOGL $MSFT $AMZN $NVDA $FB:

Alphabet, Microsoft, Amazon and Others to Launch Battle Royale at Gaming Confab:

https://t.co/rB4urG8cfF"
2019-03-16 13:25:07,2019-03-16,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/iy7qmmxXYx? Winning… https://t.co/hR8thlOq0S"
2019-03-16 13:25:07,2019-03-16,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/iy7qmmxXYx? Winning… https://t.co/hR8thlOq0S"
2019-03-16 13:37:21,2019-03-16,Family Management Stake in Microsoft $MSFT Has Trimmed by $1.15 Million as Shares Rose; Caxton Increases Position i… https://t.co/Sc1906lNUZ
2019-03-16 13:37:21,2019-03-16,Family Management Stake in Microsoft $MSFT Has Trimmed by $1.15 Million as Shares Rose; Caxton Increases Position i… https://t.co/Sc1906lNUZ
2019-03-16 14:08:26,2019-03-16,@DaneDrefke Just pull up charts of really dominant businesses (since their IPOs) and see how they've done individua… https://t.co/XjHuoQPGTj
2019-03-16 14:08:26,2019-03-16,@DaneDrefke Just pull up charts of really dominant businesses (since their IPOs) and see how they've done individua… https://t.co/XjHuoQPGTj
2019-03-16 14:12:48,2019-03-16,Royal Caribbean Cruises LTD $RCL Stock Value Rose While Bnp Paribas Arbitrage Sa Has Cut Its Holding by $10.89 Bill… https://t.co/x0yXl2P5it
2019-03-16 14:12:48,2019-03-16,Royal Caribbean Cruises LTD $RCL Stock Value Rose While Bnp Paribas Arbitrage Sa Has Cut Its Holding by $10.89 Bill… https://t.co/x0yXl2P5it
2019-03-16 14:33:23,2019-03-16,@Analyst_G &gt;&gt; it needs like 15-20Y to go back to the same levels&lt;&lt; LOL Took 15 WEEKs!! 2 HIT ALL TIME HIGHS Hey Bud… https://t.co/P4rEnN98eN
2019-03-16 14:33:23,2019-03-16,@Analyst_G &gt;&gt; it needs like 15-20Y to go back to the same levels&lt;&lt; LOL Took 15 WEEKs!! 2 HIT ALL TIME HIGHS Hey Bud… https://t.co/P4rEnN98eN
2019-03-16 14:38:19,2019-03-16,"Dixon Hubard Feinour &amp; Brown Cut Exxon Mobil $XOM Position by $358,836 as Stock Rose; Microsoft $MSFT Shareholder G… https://t.co/Pj9GClACyr"
2019-03-16 14:38:19,2019-03-16,"Dixon Hubard Feinour &amp; Brown Cut Exxon Mobil $XOM Position by $358,836 as Stock Rose; Microsoft $MSFT Shareholder G… https://t.co/Pj9GClACyr"
2019-03-16 14:59:50,2019-03-16,@WTCM3 Azure wasn’t visible when $msft was at $25 so tend to disagree. Also one of my “right for the wrong reasons” stocks.
2019-03-16 14:59:50,2019-03-16,@WTCM3 Azure wasn’t visible when $msft was at $25 so tend to disagree. Also one of my “right for the wrong reasons” stocks.
2019-03-16 15:06:05,2019-03-16,OrthoPediatrics Corp. $KIDS Reaches $43.43 52-Week High; Rathbone Brothers Plc Raised Microsoft Usd 0.00000625 Comm… https://t.co/3ogCfaN5OE
2019-03-16 15:06:05,2019-03-16,OrthoPediatrics Corp. $KIDS Reaches $43.43 52-Week High; Rathbone Brothers Plc Raised Microsoft Usd 0.00000625 Comm… https://t.co/3ogCfaN5OE
2019-03-16 15:10:17,2019-03-16,"""With no new information specific to $MSFT, the market decided over a period of less than three months that the com… https://t.co/llTBDAd3cT"
2019-03-16 15:10:17,2019-03-16,"""With no new information specific to $MSFT, the market decided over a period of less than three months that the com… https://t.co/llTBDAd3cT"
2019-03-16 15:11:32,2019-03-16,"As Alliant Com $LNT Stock Price Rose, Grace &amp; White Has Lowered Position; Microsoft $MSFT Holder State Farm Mutual… https://t.co/SPipXDDSi7"
2019-03-16 15:11:32,2019-03-16,"As Alliant Com $LNT Stock Price Rose, Grace &amp; White Has Lowered Position; Microsoft $MSFT Holder State Farm Mutual… https://t.co/SPipXDDSi7"
2019-03-16 15:12:56,2019-03-16,$MSFT #Microsoft Is an Outstanding 'Boring' Investment https://t.co/fAYG13dU6A $SLV $GLD $QQQ $DJIA $DIA $SPY… https://t.co/adWW66DqM5
2019-03-16 15:12:56,2019-03-16,$MSFT #Microsoft Is an Outstanding 'Boring' Investment https://t.co/fAYG13dU6A $SLV $GLD $QQQ $DJIA $DIA $SPY… https://t.co/adWW66DqM5
2019-03-16 15:31:40,2019-03-16,"GDC 2019 Preview: What to Watch for from Alphabet, Microsoft, Amazon and Others https://t.co/UAkymjq1Iy $GOOG $GOOGL $MSFT $AMZN $FB $NVDA"
2019-03-16 15:31:40,2019-03-16,"GDC 2019 Preview: What to Watch for from Alphabet, Microsoft, Amazon and Others https://t.co/UAkymjq1Iy $GOOG $GOOGL $MSFT $AMZN $FB $NVDA"
2019-03-16 15:36:27,2019-03-16,Morgan Stanley Picks 30 Stocks for 2021 https://t.co/GsSNJb7dp9 $WMT $V $NKE $NFLX $MSFT $MCD $HD $DG $EL $COST $BAC $ANET $AMZN $GOOGL $ACN
2019-03-16 15:36:27,2019-03-16,Morgan Stanley Picks 30 Stocks for 2021 https://t.co/GsSNJb7dp9 $WMT $V $NKE $NFLX $MSFT $MCD $HD $DG $EL $COST $BAC $ANET $AMZN $GOOGL $ACN
2019-03-16 16:36:42,2019-03-16,https://t.co/o5WsSVmqw6 $MSFT had best get on with this. Any device that is always listening for voice input is a b… https://t.co/pYRPoTS2Ui
2019-03-16 16:36:42,2019-03-16,https://t.co/o5WsSVmqw6 $MSFT had best get on with this. Any device that is always listening for voice input is a b… https://t.co/pYRPoTS2Ui
2019-03-16 16:53:04,2019-03-16,"https://t.co/cIIhFqLNAM FOR SALE!

$GRDO $RDGL $IBGR $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR… https://t.co/QRjZcQVAdM"
2019-03-16 16:53:04,2019-03-16,"https://t.co/cIIhFqLNAM FOR SALE!

$GRDO $RDGL $IBGR $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR… https://t.co/QRjZcQVAdM"
2019-03-16 16:55:18,2019-03-16,@freedoms411 @tam8ta @lord_curzon Boeing $BA cares a LOT!!!!! It's killing their stock price and executive bonuses.… https://t.co/B1jz3Lc3iy
